_id,title,good_text,bad_text,normal_text,star,time,convert_time
6377b688f94a84c839ed755b,乾淨、便利、服務一流的飯店”,,,便利的交通地段，安全、寧靜的街道，服務極為優質,9.7,2013年2月14日星期四,2013/2/14
6377b688f94a84c839ed755c,很棒的住宿體驗”,,,"服務好,停車方便(平面車位),地點優",9.7,2015年7月16日星期四,2015/7/16
6377b688f94a84c839ed755d,商務型飯店”,,,服務及位置,9.7,2013年2月28日星期四,2013/2/28
6377b689f94a84c839ed755e,服務滿意”,,,服務滿意,10.0,2013年2月19日星期二,2013/2/19
6377b689f94a84c839ed755f,地點位置優越”,,,地點好,9.0,2013年1月10日星期四,2013/1/10
6377b689f94a84c839ed7560,精緻有品質”,,,舒適,9.0,2012年1月30日星期一,2012/1/30
6377b689f94a84c839ed7561,超棒”,,,非常棒的飯店，只要去台北，絕對會入住。 並且會推薦給朋友。,10.0,2018年4月17日星期二,2018/4/17
6377b689f94a84c839ed7562,非常滿意的一次住宿”,,,飯店的地理位置及服務人員的服務態度都非常好，由於這次帶嬰兒出門都有幫我們把嬰兒的備品都準備好，對於有小孩的父母也都非常體貼。唯一的缺點大概就是三溫暖是男女共用，因此可以使用的時間真的非常短～但總體而言是個非常不錯的好飯店！,9.6,2018年7月23日星期一,2018/7/23
6377b689f94a84c839ed7563,"濃濃歐風精緻典雅的酒店,主動積極的優質服務,極具尊榮的住宿感覺! ”",,,環境/細節/精緻度,10.0,2012年12月18日星期二,2012/12/18
6377b689f94a84c839ed7564,親切”,,,"服務親切, 周到, 工作人員機靈",9.3,2015年1月11日星期日,2015/1/11
6377b689f94a84c839ed7565,服務人員親切”,,,"服務人員親切, 服務周到, 很用心",9.0,2015年1月11日星期日,2015/1/11
6377b689f94a84c839ed7566,親切”,,,"服務親切, 機靈, 方便",9.3,2015年1月11日星期日,2015/1/11
6377b689f94a84c839ed7567,服務很好，態度非常親切，房間也很舒服乾淨！”,,,"市區近,交通方便",9.0,2013年2月19日星期二,2013/2/19
6377b689f94a84c839ed7568,太棒了”,,,對有嬰兒同行的父母來說非常友善，除了房間升級成較大的房間之外，協助溫熱副食品及準備相關備品都很周到，感謝飯店服務人員,9.2,2016年10月4日星期二,2016/10/4
6377b689f94a84c839ed7569,非常棒的一間飯店”,,,飯店員工親切 住宿環境整潔 雖然住宿當天是颱風天 但還是對飯店留下了很好的印象,9.6,2017年8月2日星期三,2017/8/2
6377b689f94a84c839ed756a,不錯的選擇”,,,交通方便、員工友善、浴室用品用LOCCITANE,8.0,2014年8月12日星期二,2014/8/12
6377b689f94a84c839ed756b,完美的住宿經驗”,,,各方面均展現友善親切，不愧是台灣ㄧ流飯店.,10.0,2017年1月10日星期二,2017/1/10
6377b689f94a84c839ed756c,服務親切”,,,"交通方便, 服務親切, 乾淨整潔",9.0,2015年1月11日星期日,2015/1/11
6377b689f94a84c839ed756d,櫃台值班經理的素質有待加強”,,,"當我Check in時用手機直接把訂房的訂單編號給櫃台值班經理看時, 那位""經理""不停的滑動我的手機, 而且整體的感覺不是很專業, 也不如其他櫃台服務人員, 需要再做教育訓練. I was shock by the receiption manager when I checked in as she constantlly slided my mobile phone when I just showed her my booking number. Her service, I thought, was worse than other receiption staffs. She needs more tranining.",8.0,2017年7月15日星期六,2017/7/15
6377b689f94a84c839ed756e,房間霉味很重，但床很舒適，好睡～”,,,房間內霉味重，可借空氣清淨機，效果還不錯，但令人擔心空氣中已有黴菌孢子會影響呼吸道健康。浴室走道地板上有髮油被踏來踏去的腳印，房務人員很快的來清理第一次，吃完飯後返回房間髮油味還是很重，值班經立刻請一位飯店管理人員過來清潔，誠意十足。但最後還是在廁所馬桶附近發現還有髮油的踏痕、味道的來源⋯真心覺得房務人員一開始就應該要更用心的清掃,7.2,2016年11月29日星期二,2016/11/29
6377b689f94a84c839ed756f,清幽放鬆的地方”,,,很適合來這裡舒壓，典雅的游泳池與美食自助餐。,8.0,2022年11月11日星期五,2022/11/11
6377b689f94a84c839ed7570,環境及清境有待加強”,,,霉味重 廁所內還留有殘留衛生紙,6.8,2022年11月7日星期一,2022/11/7
6377b689f94a84c839ed7571,很好”,,,停車場很難開，路很窄要特別小心，而且沒有交管,8.0,2022年10月30日星期日,2022/10/30
6377b689f94a84c839ed7572,年輕女房客居三晚的心得”,,,距離中山捷運站非常近，交通便利的感覺非常良好。飯店的人員服務態度也很好，親切且讓人有尊榮的感覺，雖然我很年輕，卻被頂級照顧，感謝這些人員的用心態度。 另外我非常讚賞房務人員，都記住我講過我要換什麼用品，因為我住三天，東西幾乎沒搬，但他們都幫我換新的一套用品。有些我多要的清潔用品，還有礦泉水，給我超多，很感謝！ 唯一小小不滿意的地方就是 1. 泳池太冷，沒人要游。2. 健身房環境太陽春。 3. 三溫暖很簡便 此處讓人感覺到沒有要用心經營的設施。我自己本身是運動產業從事人員，很重視健身。此美中不足，建議可以再與時俱進，現代商務客應有更多人重視身心平衡。,8.8,2022年10月24日星期一,2022/10/24
6377b689f94a84c839ed7573,環境乾淨”,,,很棒,10.0,2022年10月16日星期日,2022/10/16
6377b689f94a84c839ed7574,早餐選擇多樣化”,,,早餐選擇多樣化，且口味好吃,8.8,2022年10月13日星期四,2022/10/13
6377b689f94a84c839ed7575,整潔度待改進”,,,整潔度待改進 整潔度待改進 整潔度待改進 必須說三次,5.2,2022年10月10日星期一,2022/10/10
6377b689f94a84c839ed7576,超棒”,,,房間整體空間很大， 可惜椅子沙發比較少,9.6,2022年9月29日星期四,2022/9/29
6377b689f94a84c839ed7577,服務絕對五星級”,,,來台北一定要找老爺！,10.0,2022年9月27日星期二,2022/9/27
6377b689f94a84c839ed7578,很好”,,,地理位置很好很方便，床很大很舒適，水壓很夠也很熱，空調也很好，只是車位較少但可以泊車，早餐內容的選擇性稍嫌少了一點，退房時間電梯要等比較久。,8.0,2022年9月25日星期日,2022/9/25
6377b689f94a84c839ed7579,超棒”,,,地點好、服務好,9.6,2022年9月25日星期日,2022/9/25
6377b689f94a84c839ed757a,可接受”,,,要求安静房間確實，給5顆星給櫃台員工，早晨起床冰箱不冷食品壞掉，服務經理說要搬移食品，要的是造成我的困擾表達歉意。,2.0,2022年9月24日星期六,2022/9/24
6377b68af94a84c839ed757b,有點失望”,,,兩張單人床的房型，靠近廁所的床明顯聞到異味，整晚睡的不好。,8.0,2022年9月18日星期日,2022/9/18
